home_rank_id,away_rank_id,season,month,dayofweek,home_defense,home_midfield,home_attack,away_defense,away_midfield,away_attack,is_cup_game,attendance,lineup_goals_diff,lineup_assists_diff,lineup_yellow_diff,lineup_red_diff,pos_diff,lineup_age_diff,lineup_market_value_diff,result_num,home_draw_rate_5,away_draw_rate_5,rank_diff_abs,rank_closeness,home_win_rate_5,country_France,country_Germany,country_Italy,country_Netherlands,country_Portugal,country_Spain,country_Türkiye,country_europa,type_domestic_league,type_international_cup,type_other,round_knockout,round_league,round_rounds
123,28,2013,1,6,4,3,3,4,3,3,0,9.331229689251636,-1.3333333333333335,0.023809523809523725,-0.714285714285714,0.0,-3.0,0.46031746031745513,2252095.238095238,1,0.2,0.0,95,0.010416666666666666,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
31,185,2013,1,4,4,2,4,4,2,4,0,10.48310202697824,2.4761904761904763,0.9523809523809523,1.6666666666666667,0.0,-13.0,-0.1428571428571388,414285.71428571455,0,0.0,0.2,154,0.0064516129032258064,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
25,293,2013,1,6,4,3,3,4,4,2,0,10.461101337800878,3.3803827751196174,2.4114832535885165,3.5861244019138754,0.0,-11.0,-2.516746411483254,4358086.124401914,1,0.0,0.2,268,0.0037174721189591076,0.5,True,False,False,False,False,False,False,False,True,False,False,False,True,False
318,2,2013,1,5,4,4,2,4,3,3,0,9.777016888482178,-7.015151515151515,-3.4393939393939394,-4.03030303030303,-0.045454545454545414,13.0,0.5303030303030312,-11025984.848484848,0,0.2,0.0,316,0.0031545741324921135,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2,366,2013,1,4,4,3,3,4,2,4,0,10.720907774144534,7.268398268398268,3.9891774891774894,3.387445887445887,0.045454545454545414,-7.0,0.5930735930735977,5152640.692640692,1,0.2,0.2,364,0.0027397260273972603,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2,427,2013,1,6,4,3,3,4,2,4,0,10.735461455680806,7.590909090909092,3.590909090909091,4.409090909090909,0.045454545454545414,-10.0,3.636363636363633,7244545.454545454,1,0.0,0.2,425,0.002347417840375587,0.5,True,False,False,False,False,False,False,False,True,False,False,False,True,False
355,31,2013,1,4,4,2,4,4,3,3,0,10.199435369404942,-2.292207792207792,-1.3419913419913418,-2.458874458874458,0.0,1.0,0.8398268398268414,-688917.7489177489,1,0.2,0.2,324,0.003076923076923077,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
28,312,2013,1,2,4,2,4,4,4,2,0,10.484081746856743,3.0728291316526612,2.1484593837535013,2.0560224089635852,0.0,-13.0,-3.0084033613445413,3875775.9103641454,1,0.2,0.2,284,0.0035087719298245615,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
209,25,2013,1,6,4,3,3,4,3,3,0,9.756320761816548,-3.257575757575758,-2.536796536796537,-3.6103896103896105,0.0,-1.0,1.8917748917748938,-3512510.8225108227,-1,0.2,0.2,184,0.005405405405405406,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
11,433,2013,1,2,4,2,4,4,2,4,0,11.002183171065541,3.1428571428571432,2.7619047619047614,1.8095238095238098,-0.0714285714285714,-16.0,2.30952380952381,4295952.380952381,1,0.2,0.2,422,0.002364066193853428,0.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False
